MsgID.STATE,1523729405.0370126,False,False
MsgID.LOCAL_VELOCITY,1523729410.5601704,5.3800000,5.4500000,-0.2800000
MsgID.LOCAL_POSITION,1523729410.5616522,4.7642441,5.2003942,-4.9381833
MsgID.LOCAL_VELOCITY,1523729410.5616522,5.3828640,5.4564567,-0.2884794
MsgID.LOCAL_POSITION,1523729410.8102117,5.9905634,6.4449420,-4.9754782
MsgID.LOCAL_VELOCITY,1523729410.8102117,5.8746934,5.8788452,-0.1268761
MsgID.GLOBAL_POSITION,1523729410.8106506,-122.3973808,37.7925343,4.9750000
MsgID.LOCAL_VELOCITY,1523729410.8106506,5.8700000,5.8700000,-0.1200000
MsgID.STATE,1523729411.0237052,True,True
MsgID.GLOBAL_HOME,1523729411.0251520,-122.3974533,37.7924804,0.0000000
MsgID.LOCAL_POSITION,1523729411.0591667,7.5158825,8.0187054,-4.9697146
MsgID.LOCAL_VELOCITY,1523729411.0591667,6.1051350,6.0662427,-0.0029840
MsgID.GLOBAL_POSITION,1523729411.0611613,-122.3973630,37.7925481,4.9690000
MsgID.LOCAL_VELOCITY,1523729411.0611613,6.1000000,6.0600000,0.0000000
MsgID.GLOBAL_POSITION,1523729411.3101501,-122.3973456,37.7925638,4.9660000
MsgID.LOCAL_VELOCITY,1523729411.3101501,6.2200000,6.1600000,-0.0200000
MsgID.LOCAL_POSITION,1523729411.3101501,9.2608652,9.5668936,-4.9667625
MsgID.LOCAL_VELOCITY,1523729411.3101501,6.2246418,6.1646042,-0.0296256
MsgID.GLOBAL_POSITION,1523729411.5606506,-122.3973275,37.7925778,4.9800000
MsgID.LOCAL_VELOCITY,1523729411.5606506,6.2700000,6.2100000,-0.0300000
MsgID.LOCAL_POSITION,1523729411.5616553,10.8230820,11.1753492,-4.9802418
MsgID.LOCAL_VELOCITY,1523729411.5616553,6.2758732,6.2140326,-0.0377771
MsgID.GLOBAL_POSITION,1523729411.8107038,-122.3973093,37.7925903,4.9880000
MsgID.LOCAL_VELOCITY,1523729411.8107038,6.2700000,6.2000000,0.1100000
MsgID.LOCAL_POSITION,1523729411.8111522,12.2085056,12.7959471,-4.9885435
MsgID.LOCAL_VELOCITY,1523729411.8111522,6.2749987,6.2024832,0.1126649
MsgID.STATE,1523729412.0256560,True,True
MsgID.GLOBAL_HOME,1523729412.0272088,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729412.0611525,-122.3972944,37.7926040,4.9800000
MsgID.LOCAL_VELOCITY,1523729412.0611525,6.3100000,6.1900000,0.1300000
MsgID.LOCAL_POSITION,1523729412.0676539,13.7361660,14.1216431,-4.9806499
MsgID.LOCAL_VELOCITY,1523729412.0676539,6.3115253,6.1972780,0.1367796
MsgID.GLOBAL_POSITION,1523729412.3118553,-122.3972778,37.7926182,4.9710000
MsgID.LOCAL_VELOCITY,1523729412.3118553,6.3500000,6.2200000,0.0400000
MsgID.LOCAL_POSITION,1523729412.3138649,15.3089952,15.5940256,-4.9718184
MsgID.LOCAL_VELOCITY,1523729412.3138649,6.3506122,6.2245154,0.0457814
MsgID.GLOBAL_POSITION,1523729412.5605190,-122.3972640,37.7926282,4.9840000
MsgID.LOCAL_VELOCITY,1523729412.5605190,6.3400000,6.2300000,-0.0200000
MsgID.LOCAL_POSITION,1523729412.5620151,16.4185734,16.8230705,-4.9844165
MsgID.LOCAL_VELOCITY,1523729412.5620151,6.3499975,6.2374864,-0.0200172
MsgID.GLOBAL_POSITION,1523729412.8106756,-122.3972391,37.7926467,4.9860000
MsgID.LOCAL_VELOCITY,1523729412.8106756,6.3500000,6.2100000,0.0100000
MsgID.LOCAL_POSITION,1523729412.8111751,18.4782505,19.0334358,-4.9869227
MsgID.LOCAL_VELOCITY,1523729412.8111751,6.3521194,6.2124872,0.0172416
MsgID.STATE,1523729413.0271935,True,True
MsgID.GLOBAL_HOME,1523729413.0311902,-122.3974533,37.7924804,0.0000000
MsgID.GLOBAL_POSITION,1523729413.0646794,-122.3972216,37.7926621,4.9740000
MsgID.LOCAL_VELOCITY,1523729413.0646794,6.3700000,6.1800000,0.0300000
MsgID.LOCAL_POSITION,1523729413.0656815,20.1825256,20.5959740,-4.9745908
